100,0,0.00249052,0.000996828,0,0.005821705
1000,0.180744648,0.02410531,0.210280657,0.149326086,0.357127428
5000,4.517610073,0.144670725,3.543820858,3.321623564,8.941340208
10000,13.19506264,0.181088209,8.777276993,6.151447058,17.78056908
20000,27.9474988,0.130554199,27.08421445,23.00038218,67.2191093
30000,61.19168425,0.399160624,58.14028001,73.855932,180.2920766
40000,116.3143709,0.602217197,116.8222611,96.48796582,347.3310061
50000,184.3870225,0.74408555,191.2686672,149.8166678,459.7525759
60000,274.5854731,0.992104053,262.2547388,258.957485,585.2776837
100000,823.9071703,1.062808037,713.1250181,616.8547714,1711.362132
